center,left,right,steering,throttle,brake,speed
IMG/center_2017_06_28_00_54_06_289.jpg,IMG/left_2017_06_28_00_54_06_289.jpg,IMG/right_2017_06_28_00_54_06_289.jpg,-0.6000001,1,0,30.13308
IMG/center_2017_06_28_00_54_06_377.jpg,IMG/left_2017_06_28_00_54_06_377.jpg,IMG/right_2017_06_28_00_54_06_377.jpg,0,1,0,30.17928
IMG/center_2017_06_28_00_54_06_456.jpg,IMG/left_2017_06_28_00_54_06_456.jpg,IMG/right_2017_06_28_00_54_06_456.jpg,0,1,0,30.18811
IMG/center_2017_06_28_00_54_06_526.jpg,IMG/left_2017_06_28_00_54_06_526.jpg,IMG/right_2017_06_28_00_54_06_526.jpg,0,1,0,30.18969
IMG/center_2017_06_28_00_54_06_596.jpg,IMG/left_2017_06_28_00_54_06_596.jpg,IMG/right_2017_06_28_00_54_06_596.jpg,0,1,0,30.1902
IMG/center_2017_06_28_00_54_06_663.jpg,IMG/left_2017_06_28_00_54_06_663.jpg,IMG/right_2017_06_28_00_54_06_663.jpg,0,1,0,30.19029
IMG/center_2017_06_28_00_54_06_737.jpg,IMG/left_2017_06_28_00_54_06_737.jpg,IMG/right_2017_06_28_00_54_06_737.jpg,0,1,0,30.19029
IMG/center_2017_06_28_00_54_06_811.jpg,IMG/left_2017_06_28_00_54_06_811.jpg,IMG/right_2017_06_28_00_54_06_811.jpg,0,1,0,30.19029
IMG/center_2017_06_28_00_54_06_880.jpg,IMG/left_2017_06_28_00_54_06_880.jpg,IMG/right_2017_06_28_00_54_06_880.jpg,0,1,0,30.19029
IMG/center_2017_06_28_00_54_06_951.jpg,IMG/left_2017_06_28_00_54_06_951.jpg,IMG/right_2017_06_28_00_54_06_951.jpg,0,1,0,30.19041
IMG/center_2017_06_28_00_54_07_026.jpg,IMG/left_2017_06_28_00_54_07_026.jpg,IMG/right_2017_06_28_00_54_07_026.jpg,0,1,0,30.19028
IMG/center_2017_06_28_00_54_07_099.jpg,IMG/left_2017_06_28_00_54_07_099.jpg,IMG/right_2017_06_28_00_54_07_099.jpg,0,1,0,30.1903
IMG/center_2017_06_28_00_54_07_184.jpg,IMG/left_2017_06_28_00_54_07_184.jpg,IMG/right_2017_06_28_00_54_07_184.jpg,0,1,0,30.18971
IMG/center_2017_06_28_00_54_07_280.jpg,IMG/left_2017_06_28_00_54_07_280.jpg,IMG/right_2017_06_28_00_54_07_280.jpg,0,1,0,30.1903
IMG/center_2017_06_28_00_54_07_353.jpg,IMG/left_2017_06_28_00_54_07_353.jpg,IMG/right_2017_06_28_00_54_07_353.jpg,0,1,0,30.19029
IMG/center_2017_06_28_00_54_07_424.jpg,IMG/left_2017_06_28_00_54_07_424.jpg,IMG/right_2017_06_28_00_54_07_424.jpg,0,1,0,30.19027
IMG/center_2017_06_28_00_54_07_494.jpg,IMG/left_2017_06_28_00_54_07_494.jpg,IMG/right_2017_06_28_00_54_07_494.jpg,0,1,0,30.1903
IMG/center_2017_06_28_00_54_07_565.jpg,IMG/left_2017_06_28_00_54_07_565.jpg,IMG/right_2017_06_28_00_54_07_565.jpg,-0.2,1,0,30.17983
IMG/center_2017_06_28_00_54_07_635.jpg,IMG/left_2017_06_28_00_54_07_635.jpg,IMG/right_2017_06_28_00_54_07_635.jpg,-0.4,1,0,30.1575
